shelf_node,template_name,slot_1,slot_2,slot_3,physical_interface
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/8,,GE-0/0/8
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/9,,GE-0/0/9
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/10,,GE-0/0/10
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/11,,GE-0/0/11
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/12,,GE-0/0/12
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/13,,GE-0/0/13
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/14,,GE-0/0/14
NODE 0,JUNIPER  SINGLE CPE,0,GE-0/0/15,,GE-0/0/15
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/8,,GE-5/0/8
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/9,,GE-5/0/9
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/10,,GE-5/0/10
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/11,,GE-5/0/11
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/12,,GE-5/0/12
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/13,,GE-5/0/13
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/14,,GE-5/0/14
NODE 1,JUNIPER  DUAL CPE,5,GE-5/0/15,,GE-5/0/15
