model_name,site_type,slot_1,slot_2,slot_3,physical_interface
SRX345 NODE 0,SINGLE,0,GE-0/0/8,,GE-0/0/8
SRX345 NODE 0,SINGLE,0,GE-0/0/9,,GE-0/0/9
SRX345 NODE 0,SINGLE,0,GE-0/0/10,,GE-0/0/10
SRX345 NODE 0,SINGLE,0,GE-0/0/11,,GE-0/0/11
SRX345 NODE 0,SINGLE,0,GE-0/0/12,,GE-0/0/12
SRX345 NODE 0,SINGLE,0,GE-0/0/13,,GE-0/0/13
SRX345 NODE 0,SINGLE,0,GE-0/0/14,,GE-0/0/14
SRX345 NODE 0,SINGLE,0,GE-0/0/15,,GE-0/0/15
SRX345 NODE 1,DUAL,5,GE-5/0/8,,GE-5/0/8
SRX345 NODE 1,DUAL,5,GE-5/0/9,,GE-5/0/9
SRX345 NODE 1,DUAL,5,GE-5/0/10,,GE-5/0/10
SRX345 NODE 1,DUAL,5,GE-5/0/11,,GE-5/0/11
SRX345 NODE 1,DUAL,5,GE-5/0/12,,GE-5/0/12
SRX345 NODE 1,DUAL,5,GE-5/0/13,,GE-5/0/13
SRX345 NODE 1,DUAL,5,GE-5/0/14,,GE-5/0/14
SRX345 NODE 1,DUAL,5,GE-5/0/15,,GE-5/0/15
